"","Correlation","cilow","cihigh","Task","corrtype","Source"
"1",0.581916787133192,0.595854815407152,0.567628304083924,"Lexical Decision","Correlation","SWOW-EN R1"
"2",0.589897144463241,0.603635785143767,0.575808264627136,"Lexical Decision","Correlation","SWOW-EN R123"
"3",0.54050781186431,0.555438374526861,0.52522886411682,"Lexical Decision","Correlation","USF"
"4",0.567559699140383,0.581849844614044,0.552919218875531,"Lexical Decision","Correlation","EAT"
"5",0.621338705425688,0.63426633750241,0.608063707446974,"Lexical Decision","Correlation","SUBTLEX-WF"
"6",0.3,0.31,0.28,"Lexical Decision","Partial Correlation","SWOW-EN R1"
"7",0.31,0.33,0.29,"Lexical Decision","Partial Correlation","SWOW-EN R123"
"8",0.28,0.3,0.26,"Lexical Decision","Partial Correlation","USF"
"9",0.27,0.29,0.25,"Lexical Decision","Partial Correlation","EAT"
"10",0.34,0.36,0.32,"Lexical Decision","Partial Correlation","SUBTLEX-WF"
"11",0.434215309551897,0.451369667464157,0.416740128463865,"Naming","Correlation","SWOW-EN R1"
"12",0.427062754758746,0.444349957344166,0.409457619133663,"Naming","Correlation","SWOW-EN R123"
"13",0.40062840404438,0.418388139070678,0.382562437183347,"Naming","Correlation","USF"
"14",0.437175173447421,0.454273936730449,0.419754426373323,"Naming","Correlation","EAT"
"15",0.470614695315594,0.487060140987926,0.453835640584346,"Naming","Correlation","SUBTLEX-WF"
"16",0.19,0.21,0.17,"Naming","Partial Correlation","SWOW-EN R1"
"17",0.18,0.2,0.16,"Naming","Partial Correlation","SWOW-EN R123"
"18",0.17,0.19,0.15,"Naming","Partial Correlation","USF"
"19",0.19,0.21,0.17,"Naming","Partial Correlation","EAT"
"20",0.23,0.25,0.21,"Naming","Partial Correlation","SUBTLEX-WF"
"21",0.331178069386294,0.360742559946858,0.300948697039119,"Semantic Decision","Correlation","SWOW-EN R1"
"22",0.335563312654134,0.365026422755917,0.30542872701317,"Semantic Decision","Correlation","SWOW-EN R123"
"23",0.342427551496388,0.371729466394831,0.312444015407866,"Semantic Decision","Correlation","USF"
"24",0.307464597888531,0.337555677854561,0.276745754761511,"Semantic Decision","Correlation","EAT"
"25",0.282866151277252,0.313464824423658,0.251680686068235,"Semantic Decision","Correlation","SUBTLEX-WF"
"26",0.2,0.22,0.18,"Semantic Decision","Partial Correlation","SWOW-EN R1"
"27",0.21,0.23,0.19,"Semantic Decision","Partial Correlation","SWOW-EN R123"
"28",0.22,0.24,0.2,"Semantic Decision","Partial Correlation","USF"
"29",0.18,0.2,0.16,"Semantic Decision","Partial Correlation","EAT"
"30",0.05,0.07,0.03,"Semantic Decision","Partial Correlation","SUBTLEX-WF"
